Titulo,Direção,Elenco,Nota,Link
O Poderoso Chefão,N/A,,4.8,https://www.adorocinema.com/filmes/melhores/filmes/filme-1628/
Um Sonho de Liberdade,N/A,,4.8,https://www.adorocinema.com/filmes/melhores/filmes/filme-11736/
A Lista de Schindler,N/A,,3.9,https://www.adorocinema.com/filmes/melhores/filmes/filme-9393/
Forrest Gump - O Contador de Histórias,N/A,,4.7,https://www.adorocinema.com/filmes/melhores/filmes/filme-10568/
O Rei Leão,N/A,,4.7,https://www.adorocinema.com/filmes/melhores/filmes/filme-10862/
À Espera de um Milagre,N/A,,4.7,https://www.adorocinema.com/filmes/melhores/filmes/filme-22779/
O Senhor dos Anéis - O Retorno do Rei,N/A,,4.7,https://www.adorocinema.com/filmes/melhores/filmes/filme-39187/
A Vida é Bela,N/A,,4.7,https://www.adorocinema.com/filmes/melhores/filmes/filme-64439/
Batman - O Cavaleiro Das Trevas,N/A,,4.7,https://www.adorocinema.com/filmes/melhores/filmes/filme-115362/
Vingadores: Ultimato,N/A,,3.9,https://www.adorocinema.com/filmes/melhores/filmes/filme-232669/
Vingadores: Guerra Infinita,N/A,,3.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-218265/
O Poderoso Chefão 2,N/A,,4.7,https://www.adorocinema.com/filmes/melhores/filmes/filme-28201/
O Auto da Compadecida,N/A,,4.7,https://www.adorocinema.com/filmes/melhores/filmes/filme-120824/
Viva - A Vida é uma Festa,N/A,,3.7,https://www.adorocinema.com/filmes/melhores/filmes/filme-206775/
O Resgate do Soldado Ryan,N/A,,4.7,https://www.adorocinema.com/filmes/melhores/filmes/filme-18598/
De Volta para o Futuro,N/A,,4.7,https://www.adorocinema.com/filmes/melhores/filmes/filme-448/
Gladiador,N/A,,4.7,https://www.adorocinema.com/filmes/melhores/filmes/filme-24944/
Django Livre,N/A,,4.3,https://www.adorocinema.com/filmes/melhores/filmes/filme-190918/
O Silêncio dos Inocentes,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-6641/
O Senhor dos Anéis - A Sociedade do Anel,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-27070/
O Senhor dos Anéis - As Duas Torres,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-39186/
Intocáveis,N/A,,3.0,https://www.adorocinema.com/filmes/melhores/filmes/filme-182745/
Interestelar,N/A,,3.8,https://www.adorocinema.com/filmes/melhores/filmes/filme-114782/
Sempre ao Seu Lado,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-128959/
Toy Story - Um Mundo de Aventuras,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-14264/
Cantando na Chuva,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-5120/
À Procura da Felicidade,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-54098/
Harry Potter e as Relíquias da Morte - Parte 2,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-134925/
Divertida Mente,N/A,,4.5,https://www.adorocinema.com/filmes/melhores/filmes/filme-196960/
Toy Story 3,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-126123/
Três Homens em Conflito,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-19395/
Homens de Honra,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-27434/
Bastardos Inglórios,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-60208/
Star Wars: O Império Contra-ataca,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-25802/
Histórias Cruzadas,N/A,,3.2,https://www.adorocinema.com/filmes/melhores/filmes/filme-176673/
A Origem,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-143692/
Logan,N/A,,4.0,https://www.adorocinema.com/filmes/melhores/filmes/filme-225116/
Ben-Hur,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-1532/
Até o Último Homem,N/A,,3.3,https://www.adorocinema.com/filmes/melhores/filmes/filme-208104/
O Sexto Sentido,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-22092/
Coringa,N/A,,4.2,https://www.adorocinema.com/filmes/melhores/filmes/filme-258374/
Matrix,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-19776/
A Bela e a Fera,N/A,,4.8,https://www.adorocinema.com/filmes/melhores/filmes/filme-7229/
Tempos Modernos,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-1832/
Wall-E,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-123734/
O Pianista,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-28359/
Jurassic Park - Parque dos Dinossauros,N/A,,5.0,https://www.adorocinema.com/filmes/melhores/filmes/filme-8488/
A Noviça Rebelde,N/A,,4.6,https://www.adorocinema.com/filmes/melhores/filmes/filme-238/
Batman - O Cavaleiro das Trevas Ressurge,N/A,,4.0,https://www.adorocinema.com/filmes/melhores/filmes/filme-132874/
Procurando Nemo,N/A,,4.5,https://www.adorocinema.com/filmes/melhores/filmes/filme-29057/
